date,rate,maturity_level
1999-1-1, - ,02_weeks
1999-2-1, - ,02_weeks
1999-3-1, - ,02_weeks
1999-4-1, - ,02_weeks
1999-5-1, - ,02_weeks
1999-6-1, - ,02_weeks
1999-7-1, - ,02_weeks
1999-8-1, - ,02_weeks
1999-9-1, - ,02_weeks
1999-10-1, - ,02_weeks
1999-11-1, - ,02_weeks
1999-12-1, - ,02_weeks
2000-1-1, - ,02_weeks
2000-2-1, - ,02_weeks
2000-3-1, - ,02_weeks
2000-4-1, - ,02_weeks
2000-5-1, - ,02_weeks
2000-6-1, - ,02_weeks
2000-7-1, - ,02_weeks
2000-8-1, - ,02_weeks
2000-9-1, - ,02_weeks
2000-10-1, - ,02_weeks
2000-11-1, - ,02_weeks
2000-12-1, - ,02_weeks
2001-1-1, - ,02_weeks
2001-2-1, - ,02_weeks
2001-3-1, - ,02_weeks
2001-4-1, - ,02_weeks
2001-5-1, - ,02_weeks
2001-6-1, - ,02_weeks
2001-7-1, - ,02_weeks
2001-8-1, - ,02_weeks
2001-9-1, - ,02_weeks
2001-10-15,3.828,02_weeks
2001-11-01,3.734,02_weeks
2001-12-03,3.321,02_weeks
2002-01-02,3.320,02_weeks
2002-02-01,3.348,02_weeks
2002-03-01,3.333,02_weeks
2002-04-02,3.341,02_weeks
2002-05-02,3.324,02_weeks
2002-06-03,3.365,02_weeks
2002-07-01,3.367,02_weeks
2002-08-01,3.336,02_weeks
2002-09-02,3.316,02_weeks
2002-10-01,3.314,02_weeks
2002-11-01,3.302,02_weeks
2002-12-02,3.216,02_weeks
2003-01-02,2.905,02_weeks
2003-02-03,2.829,02_weeks
2003-03-03,2.749,02_weeks
2003-04-01,2.571,02_weeks
2003-05-02,2.574,02_weeks
2003-06-02,2.495,02_weeks
2003-07-01,2.149,02_weeks
2003-08-01,2.103,02_weeks
2003-09-01,2.119,02_weeks
2003-10-01,2.088,02_weeks
2003-11-03,2.080,02_weeks
2003-12-01,2.087,02_weeks
2004-01-02,2.090,02_weeks
2004-02-02,2.065,02_weeks
2004-03-01,2.056,02_weeks
2004-04-01,2.029,02_weeks
2004-05-03,2.054,02_weeks
2004-06-01,2.055,02_weeks
2004-07-01,2.070,02_weeks
2004-08-02,2.065,02_weeks
2004-09-01,2.067,02_weeks
2004-10-01,2.071,02_weeks
2004-11-01,2.084,02_weeks
2004-12-01,2.083,02_weeks
2005-01-03,2.112,02_weeks
2005-02-01,2.098,02_weeks
2005-03-01,2.092,02_weeks
2005-04-01,2.093,02_weeks
2005-05-02,2.093,02_weeks
2005-06-01,2.100,02_weeks
2005-07-01,2.100,02_weeks
2005-08-01,2.101,02_weeks
2005-09-01,2.102,02_weeks
2005-10-03,2.107,02_weeks
2005-11-01,2.099,02_weeks
2005-12-01,2.335,02_weeks
2006-01-02,2.363,02_weeks
2006-02-01,2.363,02_weeks
2006-03-01,2.540,02_weeks
2006-04-03,2.626,02_weeks
2006-05-02,2.643,02_weeks
2006-06-01,2.666,02_weeks
2006-07-03,2.851,02_weeks
2006-08-01,2.951,02_weeks
2006-09-01,3.077,02_weeks
2006-10-02,3.214,02_weeks
2006-11-01,3.347,02_weeks
2006-12-01,3.451,02_weeks
2007-01-02,3.615,02_weeks
2007-02-01,3.593,02_weeks
2007-03-01,3.672,02_weeks
2007-04-02,3.853,02_weeks
2007-05-01,3.848,02_weeks
2007-06-01,3.925,02_weeks
2007-07-02,4.086,02_weeks
2007-08-01,4.084,02_weeks
2007-09-03,4.262,02_weeks
2007-10-01,4.196,02_weeks
2007-11-01,4.114,02_weeks
2007-12-03,4.122,02_weeks
2008-01-02,4.158,02_weeks
2008-02-01,4.166,02_weeks
2008-03-03,4.132,02_weeks
2008-04-01,4.254,02_weeks
2008-05-02,4.298,02_weeks
2008-06-02,4.257,02_weeks
2008-07-01,4.243,02_weeks
2008-08-01,4.420,02_weeks
2008-09-01,4.424,02_weeks
2008-10-01,4.887,02_weeks
2008-11-03,3.934,02_weeks
2008-12-01,3.160,02_weeks
2009-01-02,2.429,02_weeks
2009-02-02,1.527,02_weeks
2009-03-02,1.390,02_weeks
2009-04-01,1.008,02_weeks
2009-05-04,0.825,02_weeks
2009-06-01,0.897,02_weeks
2009-07-01,0.560,02_weeks
2009-08-03,0.392,02_weeks
2009-09-01,0.370,02_weeks
2009-10-01,0.368,02_weeks
2009-11-02,0.369,02_weeks
2009-12-01,0.394,02_weeks
2010-01-04,0.393,02_weeks
2010-02-01,0.361,02_weeks
2010-03-01,0.361,02_weeks
2010-04-01,0.358,02_weeks
2010-05-03,0.367,02_weeks
2010-06-01,0.375,02_weeks
2010-07-01,0.460,02_weeks
2010-08-02,0.600,02_weeks
2010-09-01,0.544,02_weeks
2010-10-01,0.665,02_weeks
2010-11-01,0.795,02_weeks
2010-12-01,0.668,02_weeks
2011-01-03,0.641,02_weeks
2011-02-01,0.931,02_weeks
2011-03-01,0.779,02_weeks
2011-04-01,0.856,02_weeks
2011-05-02,1.236,02_weeks
2011-06-01,1.102,02_weeks
