date,rate,maturity_level
1999-01-01,3.220,09_months
1999-02-01,2.994,09_months
1999-03-01,3.055,09_months
1999-04-01,2.937,09_months
1999-05-03,2.665,09_months
1999-06-01,2.692,09_months
1999-07-01,2.845,09_months
1999-08-02,3.092,09_months
1999-09-01,3.178,09_months
1999-10-01,3.276,09_months
1999-11-01,3.641,09_months
1999-12-01,3.601,09_months
2000-01-03,3.697,09_months
2000-02-01,3.896,09_months
2000-03-01,4.004,09_months
2000-04-03,4.189,09_months
2000-05-02,4.446,09_months
2000-06-01,4.863,09_months
2000-07-03,4.903,09_months
2000-08-01,5.054,09_months
2000-09-01,5.166,09_months
2000-10-02,5.112,09_months
2000-11-01,5.235,09_months
2000-12-01,5.038,09_months
2001-01-02,4.722,09_months
2001-02-01,4.528,09_months
2001-03-01,4.541,09_months
2001-04-02,4.349,09_months
2001-05-02,4.742,09_months
2001-06-01,4.403,09_months
2001-07-02,4.321,09_months
2001-08-01,4.250,09_months
2001-09-03,4.022,09_months
2001-10-01,3.504,09_months
2001-11-01,3.239,09_months
2001-12-03,3.170,09_months
2002-01-02,3.233,09_months
2002-02-01,3.505,09_months
2002-03-01,3.502,09_months
2002-04-02,3.812,09_months
2002-05-02,3.632,09_months
2002-06-03,3.823,09_months
2002-07-01,3.617,09_months
2002-08-01,3.426,09_months
2002-09-02,3.335,09_months
2002-10-01,3.083,09_months
2002-11-01,3.082,09_months
2002-12-02,2.980,09_months
2003-01-02,2.752,09_months
2003-02-03,2.680,09_months
2003-03-03,2.381,09_months
2003-04-01,2.388,09_months
2003-05-02,2.371,09_months
2003-06-02,2.168,09_months
2003-07-01,2.032,09_months
2003-08-01,2.181,09_months
2003-09-01,2.246,09_months
2003-10-01,2.094,09_months
2003-11-03,2.304,09_months
2003-12-01,2.373,09_months
2004-01-02,2.196,09_months
2004-02-02,2.187,09_months
2004-03-01,2.052,09_months
2004-04-01,1.946,09_months
2004-05-03,2.162,09_months
2004-06-01,2.237,09_months
2004-07-01,2.268,09_months
2004-08-02,2.253,09_months
2004-09-01,2.205,09_months
2004-10-01,2.288,09_months
2004-11-01,2.245,09_months
2004-12-01,2.231,09_months
2005-01-03,2.273,09_months
2005-02-01,2.231,09_months
2005-03-01,2.264,09_months
2005-04-01,2.263,09_months
2005-05-02,2.172,09_months
2005-06-01,2.133,09_months
2005-07-01,2.092,09_months
2005-08-01,2.187,09_months
2005-09-01,2.168,09_months
2005-10-03,2.272,09_months
2005-11-01,2.471,09_months
2005-12-01,2.685,09_months
2006-01-02,2.759,09_months
2006-02-01,2.808,09_months
2006-03-01,2.896,09_months
2006-04-03,3.135,09_months
2006-05-02,3.193,09_months
2006-06-01,3.259,09_months
2006-07-03,3.386,09_months
2006-08-01,3.445,09_months
2006-09-01,3.568,09_months
2006-10-02,3.687,09_months
2006-11-01,3.776,09_months
2006-12-01,3.812,09_months
2007-01-02,3.958,09_months
2007-02-01,4.016,09_months
2007-03-01,4.028,09_months
2007-04-02,4.138,09_months
2007-05-01,4.229,09_months
2007-06-01,4.374,09_months
2007-07-02,4.433,09_months
2007-08-01,4.458,09_months
2007-09-03,4.770,09_months
