date;value;granularity;level
1999-01-12;3.512;1m;monthly
1999-01-11;2.892;1m;monthly
1999-01-10;2.637;1m;monthly
1999-01-09;2.605;1m;monthly
1999-02-08;2.636;1m;monthly
1999-01-07;2.631;1m;monthly
1999-01-06;2.571;1m;monthly
1999-03-05;2.568;1m;monthly
1999-01-04;2.963;1m;monthly
1999-01-03;3.122;1m;monthly
1999-01-02;3.126;1m;monthly
1999-01-01;3.254;1m;monthly
2000-01-12;5.017;1m;monthly
2000-01-11;4.956;1m;monthly
2000-02-10;4.787;1m;monthly
2000-01-09;4.664;1m;monthly
2000-01-08;4.416;1m;monthly
2000-03-07;4.423;1m;monthly
2000-01-06;4.294;1m;monthly
2000-02-05;3.944;1m;monthly
2000-03-04;3.694;1m;monthly
2000-01-03;3.443;1m;monthly
2000-01-02;3.313;1m;monthly
2000-03-01;3.171;1m;monthly
2001-03-12;3.422;1m;monthly
2001-01-11;3.623;1m;monthly
2001-15-10;;1m;monthly
2001-01-10;3.727;1m;monthly
2001-03-09;4.314;1m;monthly
2001-01-08;4.505;1m;monthly
2001-02-07;4.517;1m;monthly
2001-01-06;4.562;1m;monthly
2001-02-05;4.845;1m;monthly
2001-02-04;4.722;1m;monthly
2001-01-03;4.806;1m;monthly
2001-01-02;4.776;1m;monthly
2002-02-12;3.138;1m;monthly
2002-01-11;3.284;1m;monthly
2002-01-10;3.313;1m;monthly
2002-02-09;3.335;1m;monthly
2002-01-08;3.345;1m;monthly
2002-01-07;3.389;1m;monthly
2002-03-06;3.387;1m;monthly
2002-02-05;3.333;1m;monthly
2002-02-04;3.361;1m;monthly
2002-01-03;3.342;1m;monthly
2002-01-02;3.351;1m;monthly
2002-02-01;3.312;1m;monthly
2003-01-12;2.155;1m;monthly
2003-03-11;2.094;1m;monthly
2003-01-10;2.103;1m;monthly
2003-01-09;2.132;1m;monthly
2003-01-08;2.120;1m;monthly
2003-01-07;2.155;1m;monthly
2003-02-06;2.352;1m;monthly
2003-02-05;2.572;1m;monthly
2003-01-04;2.568;1m;monthly
2003-03-03;2.609;1m;monthly
2003-03-02;2.832;1m;monthly
2003-02-01;2.899;1m;monthly
2004-01-12;2.169;1m;monthly
2004-01-11;2.093;1m;monthly
2004-01-10;2.079;1m;monthly
2004-01-09;2.076;1m;monthly
2004-02-08;2.075;1m;monthly
2004-01-07;2.074;1m;monthly
2004-01-06;2.064;1m;monthly
2004-03-05;2.056;1m;monthly
2004-01-04;2.022;1m;monthly
2004-01-03;2.052;1m;monthly
2004-02-02;2.073;1m;monthly
2004-02-01;2.099;1m;monthly
2005-01-12;2.406;1m;monthly
2005-01-11;2.125;1m;monthly
2005-03-10;2.122;1m;monthly
2005-01-09;2.112;1m;monthly
2005-01-08;2.111;1m;monthly
2005-01-07;2.104;1m;monthly
2005-01-06;2.104;1m;monthly
2005-02-05;2.105;1m;monthly
2005-01-04;2.104;1m;monthly
2005-01-03;2.103;1m;monthly
2005-01-02;2.106;1m;monthly
2005-03-01;2.125;1m;monthly
2006-01-12;3.588;1m;monthly
2006-01-11;3.365;1m;monthly
2006-02-10;3.291;1m;monthly
2006-01-09;3.096;1m;monthly
2006-01-08;3.033;1m;monthly
2006-03-07;2.898;1m;monthly
2006-01-06;2.821;1m;monthly
2006-02-05;2.667;1m;monthly
2006-03-04;2.647;1m;monthly
2006-01-03;2.601;1m;monthly
2006-01-02;2.390;1m;monthly
2006-02-01;2.399;1m;monthly
2007-03-12;4.834;1m;monthly
2007-01-11;4.150;1m;monthly
2007-01-10;4.389;1m;monthly
2007-03-09;4.455;1m;monthly
2007-01-08;4.105;1m;monthly
2007-02-07;4.113;1m;monthly
2007-01-06;4.034;1m;monthly
2007-01-05;3.861;1m;monthly
2007-02-04;3.864;1m;monthly
2007-01-03;3.771;1m;monthly
2007-01-02;3.609;1m;monthly
2007-02-01;3.629;1m;monthly
2008-01-12;3.523;1m;monthly
2008-03-11;4.412;1m;monthly
2008-01-10;5.088;1m;monthly
2008-01-09;4.513;1m;monthly
2008-01-08;4.483;1m;monthly
2008-01-07;4.448;1m;monthly
2008-02-06;4.464;1m;monthly
2008-02-05;4.386;1m;monthly
2008-01-04;4.357;1m;monthly
2008-03-03;4.199;1m;monthly
2008-01-02;4.190;1m;monthly
2008-02-01;4.239;1m;monthly
2009-01-12;0.476;1m;monthly
2009-02-11;0.424;1m;monthly
2009-01-10;0.439;1m;monthly
2009-01-09;0.481;1m;monthly
2009-03-08;0.526;1m;monthly
2009-01-07;0.740;1m;monthly
2009-01-06;0.933;1m;monthly
2009-04-05;0.931;1m;monthly
2009-01-04;1.105;1m;monthly
2009-02-03;1.518;1m;monthly
2009-02-02;1.735;1m;monthly
2009-02-01;2.570;1m;monthly
2010-01-12;0.812;1m;monthly
2010-01-11;0.848;1m;monthly
2010-01-10;0.704;1m;monthly
2010-01-09;0.619;1m;monthly
2010-02-08;0.646;1m;monthly
2010-01-07;0.505;1m;monthly
2010-01-06;0.428;1m;monthly
2010-03-05;0.414;1m;monthly
2010-01-04;0.400;1m;monthly
2010-01-03;0.415;1m;monthly
2010-01-02;0.425;1m;monthly
2010-04-01;0.453;1m;monthly
2011-01-12;1.205;1m;monthly
2011-01-11;1.362;1m;monthly
2011-03-10;1.355;1m;monthly
2011-01-09;1.351;1m;monthly
2011-01-08;1.434;1m;monthly
2011-01-07;1.332;1m;monthly
2011-01-06;1.223;1m;monthly
2011-02-05;1.244;1m;monthly
2011-01-04;0.984;1m;monthly
2011-01-03;0.867;1m;monthly
2011-01-02;0.915;1m;monthly
2011-03-01;0.774;1m;monthly
2012-03-12;0.113;1m;monthly
2012-01-11;0.110;1m;monthly
2012-01-10;0.116;1m;monthly
2012-03-09;0.122;1m;monthly
2012-01-08;0.144;1m;monthly
2012-02-07;0.372;1m;monthly
2012-01-06;0.384;1m;monthly
2012-02-05;0.401;1m;monthly
2012-02-04;0.417;1m;monthly
2012-01-03;0.549;1m;monthly
2012-01-02;0.701;1m;monthly
2012-02-01;1.005;1m;monthly
2013-02-12;0.170;1m;monthly
2013-01-11;0.129;1m;monthly
2013-01-10;0.128;1m;monthly
2013-02-09;0.129;1m;monthly
2013-01-08;0.130;1m;monthly
2013-01-07;0.121;1m;monthly
2013-03-06;0.113;1m;monthly
2013-01-05;0.116;1m;monthly
2013-02-04;0.117;1m;monthly
2013-01-03;0.117;1m;monthly
2013-01-02;0.122;1m;monthly
2013-02-01;0.109;1m;monthly
2014-01-12;0.021;1m;monthly
2014-03-11;0.010;1m;monthly
2014-01-10;0.006;1m;monthly
2014-01-09;0.066;1m;monthly
2014-01-08;0.097;1m;monthly
2014-01-07;0.098;1m;monthly
2014-02-06;0.250;1m;monthly
2014-02-05;0.258;1m;monthly
2014-01-04;0.235;1m;monthly
2014-03-03;0.220;1m;monthly
2014-03-02;0.225;1m;monthly
2014-02-01;0.214;1m;monthly
2015-01-12;-0.161;1m;monthly
2015-02-11;-0.119;1m;monthly
2015-01-10;-0.113;1m;monthly
2015-01-09;-0.099;1m;monthly
2015-03-08;-0.078;1m;monthly
2015-01-07;-0.064;1m;monthly
2015-01-06;-0.057;1m;monthly
2015-04-05;-0.042;1m;monthly
2015-01-04;-0.017;1m;monthly
2015-02-03;-0.005;1m;monthly
2015-02-02;0.003;1m;monthly
2015-02-01;0.016;1m;monthly
2016-01-12;-0.372;1m;monthly
2016-01-11;-0.374;1m;monthly
2016-03-10;-0.371;1m;monthly
2016-01-09;-0.372;1m;monthly
2016-01-08;-0.371;1m;monthly
2016-01-07;-0.363;1m;monthly
2016-01-06;-0.349;1m;monthly
2016-02-05;-0.343;1m;monthly
2016-01-04;-0.335;1m;monthly
2016-01-03;-0.270;1m;monthly
2016-01-02;-0.232;1m;monthly
2016-04-01;-0.210;1m;monthly
2017-01-12;-0.369;1m;monthly
2017-01-11;-0.371;1m;monthly
2017-02-10;-0.373;1m;monthly
2017-01-09;-0.373;1m;monthly
2017-01-08;-0.371;1m;monthly
2017-03-07;-0.373;1m;monthly
2017-01-06;-0.374;1m;monthly
2017-02-05;-0.374;1m;monthly
2017-03-04;-0.372;1m;monthly
2017-01-03;-0.372;1m;monthly
2017-01-02;-0.372;1m;monthly
2017-02-01;-0.368;1m;monthly
2018-03-12;-0.368;1m;monthly
2018-01-11;-0.368;1m;monthly
2018-01-10;-0.371;1m;monthly
2018-03-09;-0.370;1m;monthly
2018-01-08;-0.369;1m;monthly
2018-02-07;-0.369;1m;monthly
2018-01-06;-0.371;1m;monthly
2018-02-05;-0.371;1m;monthly
2018-03-04;-0.372;1m;monthly
2018-01-03;-0.371;1m;monthly
2018-01-02;-0.369;1m;monthly
2018-02-01;-0.368;1m;monthly
2019-02-12;-0.439;1m;monthly
2019-01-11;-0.443;1m;monthly
2019-01-10;-0.467;1m;monthly
2019-02-09;-0.427;1m;monthly
2019-01-08;-0.393;1m;monthly
2019-01-07;-0.392;1m;monthly
2019-03-06;-0.378;1m;monthly
2019-02-05;-0.366;1m;monthly
2019-01-04;-0.367;1m;monthly
2019-01-03;-0.368;1m;monthly
2019-01-02;-0.369;1m;monthly
2019-02-01;-0.362;1m;monthly
2020-01-12;-0.548;1m;monthly
2020-02-11;-0.540;1m;monthly
2020-01-10;-0.526;1m;monthly
2020-01-09;-0.510;1m;monthly
2020-03-08;-0.516;1m;monthly
2020-01-07;-0.512;1m;monthly
2020-01-06;-0.498;1m;monthly
2020-04-05;-0.476;1m;monthly
